Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,231.666000,236.634003,222.203003,229.033005,229.033005,633142016
2018-01-02,228.990005,263.625000,228.990005,255.684006,255.684006,1237949952
2018-01-03,255.695007,260.742004,243.134995,245.367996,245.367996,3215280128
2018-01-04,245.475006,245.475006,227.013000,241.369995,241.369995,3481550080
2018-01-05,241.033997,256.148010,237.880005,249.270996,249.270996,1710599936
2018-01-06,249.768005,323.114990,249.414993,296.454010,296.454010,2264740096
2018-01-07,296.053009,305.527008,281.927002,288.450989,288.450989,1055400000
2018-01-08,287.725006,289.069000,237.664993,255.763000,255.763000,1182080000
2018-01-09,254.606003,258.502991,240.184006,247.037003,247.037003,940825024
2018-01-10,248.072998,251.054001,233.858994,250.518005,250.518005,1009910016
2018-01-11,251.522003,255.048004,223.003006,229.365997,229.365997,1079389952
2018-01-12,229.787003,243.591995,224.820999,236.856003,236.856003,691160000
2018-01-13,236.882004,263.195007,236.882004,259.192993,259.192993,961043008
2018-01-14,260.579010,270.851990,234.272003,238.675003,238.675003,886414976
2018-01-15,237.289001,245.003998,232.774002,232.774002,232.774002,601769984
2018-01-16,232.817001,232.817001,152.292999,188.330994,188.330994,1405069952
2018-01-17,190.145004,197.789993,141.007004,186.516006,186.516006,1422489984
2018-01-18,186.949005,207.016006,176.830002,192.837006,192.837006,936784000
2018-01-19,191.192001,202.074997,186.938004,192.964005,192.964005,560284032
2018-01-20,194.378006,214.587997,194.378006,211.018005,211.018005,540785984
2018-01-21,211.235001,211.235001,184.636002,190.421005,190.421005,463516000
2018-01-22,191.789993,195.246002,166.882996,180.007996,180.007996,494091008
2018-01-23,180.279007,186.306000,165.725998,177.807007,177.807007,441764992
2018-01-24,178.425003,186.279007,173.718994,179.987000,179.987000,375948992
2018-01-25,181.563004,185.423004,176.348999,180.272003,180.272003,363137984
2018-01-26,179.819000,182.891998,167.084000,176.733994,176.733994,375476992
2018-01-27,176.660995,183.154007,174.878998,180.886002,180.886002,291632992
2018-01-28,181.421005,194.679001,181.421005,193.865005,193.865005,363515008
2018-01-29,193.751007,194.386002,179.231995,181.664001,181.664001,303560992
2018-01-30,181.445007,181.518005,163.033997,165.276001,165.276001,433227008
2018-01-31,165.296005,167.067993,157.645004,163.350998,163.350998,363292992
2018-02-01,163.682007,165.813995,131.548004,142.296997,142.296997,539880000
2018-02-02,142.561996,142.561996,105.346001,131.378998,131.378998,815539968
2018-02-03,131.401001,165.554993,121.166000,160.250000,160.250000,687676032
