                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53162,                0.57878,                0.95209,                0.86611,                0.85667,                0.90124,                0.79784,                0.49048,                0.73449,                0.85752,              0.0016634,              0.0016634,              0.0016634
                     36,                0.54571,                0.59061,                0.95631,                0.90903,                0.86605,                0.91132,                0.81574,                0.48884,                0.55061,                0.84947,              0.0016535,              0.0016535,              0.0016535
                     37,                0.52613,                0.56722,                0.94867,                0.86712,                0.87167,                0.91365,                0.80743,                0.49754,                0.53057,                0.86755,              0.0016436,              0.0016436,              0.0016436
                     38,                0.54176,                0.56527,                0.95111,                0.88493,                0.85879,                0.91061,                0.79939,                0.50465,                0.55784,                0.86831,              0.0016337,              0.0016337,              0.0016337
                     39,                0.52917,                0.55942,                0.94902,                0.90012,                  0.845,                0.91604,                0.80781,                0.48178,                0.55814,                0.86667,              0.0016238,              0.0016238,              0.0016238
                     40,                0.52524,                0.55865,                0.94835,                0.91219,                0.84841,                0.92288,                0.82173,                0.46727,                0.52311,                 0.8501,              0.0016139,              0.0016139,              0.0016139
                     41,                 0.5225,                0.54935,                0.94358,                0.87881,                0.86333,                0.90954,                0.80135,                0.49143,                0.53718,                0.86831,               0.001604,               0.001604,               0.001604
                     42,                0.52008,                0.54888,                0.94734,                0.87014,                0.84333,                 0.9087,                0.80911,                0.48061,                0.53603,                 0.8486,              0.0015941,              0.0015941,              0.0015941
                     43,                0.51682,                0.54992,                0.94422,                0.86383,                  0.867,                0.91165,                0.81258,                0.47334,                0.55691,                0.85229,              0.0015842,              0.0015842,              0.0015842
                     44,                0.51244,                0.54714,                0.93946,                0.88737,                  0.865,                0.91565,                  0.813,                0.47756,                0.54412,                  0.844,              0.0015743,              0.0015743,              0.0015743
                     45,                0.51815,                0.54059,                  0.939,                0.90393,                0.86252,                 0.9259,                0.81729,                0.47875,                0.53284,                0.85554,              0.0015644,              0.0015644,              0.0015644
                     46,                0.50991,                0.54598,                0.94024,                0.87339,                0.87381,                0.91091,                 0.8095,                0.47248,                 0.5794,                0.84277,              0.0015545,              0.0015545,              0.0015545
                     47,                0.51191,                0.54302,                0.93933,                0.87128,                  0.865,                0.91065,                0.81481,                0.46503,                0.52339,                 0.8591,              0.0015446,              0.0015446,              0.0015446
                     48,                 0.5097,                0.53506,                0.94061,                 0.8953,                0.86667,                0.92217,                0.82936,                0.46286,                0.52215,                 0.8389,              0.0015347,              0.0015347,              0.0015347
                     49,                0.50027,                 0.5297,                0.93888,                0.88511,                0.86032,                0.91385,                0.81576,                0.45977,                0.55109,                0.84653,              0.0015248,              0.0015248,              0.0015248
                     50,                 0.5037,                0.53374,                0.93486,                0.89834,                  0.885,                0.93092,                0.84019,                0.46171,                0.50645,                 0.8353,              0.0015149,              0.0015149,              0.0015149
                     51,                0.50372,                0.52428,                 0.9382,                0.91762,                0.85402,                0.92488,                0.82184,                0.47903,                0.50069,                0.84994,               0.001505,               0.001505,               0.001505
                     52,                0.49581,                0.52456,                0.92976,                0.89462,                0.87726,                0.92545,                0.82909,                0.45477,                0.52108,                0.83017,              0.0014951,              0.0014951,              0.0014951
                     53,                0.49479,                0.52138,                0.93227,                0.88414,                0.84167,                0.90769,                0.81578,                0.45116,                0.54043,                0.83551,              0.0014852,              0.0014852,              0.0014852
                     54,                0.49643,                 0.5173,                0.93329,                0.91179,                0.88167,                0.92187,                0.83384,                0.45834,                0.48934,                0.84421,              0.0014753,              0.0014753,              0.0014753
                     55,                0.49489,                0.52032,                0.93266,                0.88305,                0.88333,                0.91956,                0.82518,                0.45954,                0.52377,                0.84745,              0.0014654,              0.0014654,              0.0014654
                     56,                0.49323,                0.51369,                0.92754,                0.91794,                0.84833,                 0.9234,                0.83054,                0.44034,                0.49521,                 0.8374,              0.0014555,              0.0014555,              0.0014555
                     57,                0.49551,                0.51037,                  0.931,                0.91553,                0.86833,                0.93099,                0.83923,                0.43898,                0.47397,                0.83185,              0.0014456,              0.0014456,              0.0014456
                     58,                0.48789,                0.50876,                0.92842,                0.89634,                0.82148,                0.90064,                0.81162,                0.44836,                0.55829,                0.83657,              0.0014357,              0.0014357,              0.0014357
                     59,                0.48932,                0.50672,                0.92632,                0.91443,                0.90835,                0.93466,                0.84422,                0.43582,                0.45267,                0.83161,              0.0014258,              0.0014258,              0.0014258
                     60,                0.48976,                0.50479,                 0.9286,                0.92324,                0.87333,                0.93345,                0.84379,                0.42836,                0.47511,                0.83287,              0.0014159,              0.0014159,              0.0014159
                     61,                0.48313,                0.49578,                0.92887,                0.90622,                0.89167,                0.93431,                0.85227,                 0.4363,                0.48786,                0.82438,               0.001406,               0.001406,               0.001406
                     62,                0.48417,                0.50028,                0.92756,                0.91914,                0.89039,                0.93553,                0.84735,                0.42279,                0.46606,                0.81908,              0.0013961,              0.0013961,              0.0013961
                     63,                0.48313,                0.49338,                0.92715,                0.89691,                  0.905,                0.93236,                0.84278,                0.44496,                0.48053,                0.84055,              0.0013862,              0.0013862,              0.0013862
                     64,                0.48001,                0.50591,                0.92444,                0.92801,                 0.9023,                0.94016,                0.84711,                0.42913,                0.46413,                0.81258,              0.0013763,              0.0013763,              0.0013763
                     65,                0.47062,                0.48736,                0.91758,                0.89249,                0.89936,                0.93119,                0.84735,                0.42367,                0.45915,                0.81259,              0.0013664,              0.0013664,              0.0013664
                     66,                0.47428,                 0.4934,                0.92377,                0.89135,                  0.885,                0.92652,                0.84274,                0.41783,                 0.4696,                0.81201,              0.0013565,              0.0013565,              0.0013565
                     67,                0.46088,                0.48394,                0.91536,                 0.9165,                0.89639,                0.94146,                0.85664,                0.40664,                0.42988,                0.81283,              0.0013466,              0.0013466,              0.0013466
                     68,                0.47188,                0.49065,                0.91998,                0.92028,                0.86579,                0.93436,                0.85115,                0.41882,                0.44457,                0.81227,              0.0013367,              0.0013367,              0.0013367
                     69,                0.47516,                0.48336,                 0.9216,                0.90888,                0.89776,                0.93381,                0.85206,                0.42322,                0.44818,                0.81593,              0.0013268,              0.0013268,              0.0013268
                     70,                0.45968,                0.47084,                0.91586,                 0.9128,                0.90667,                  0.944,                0.86233,                0.41246,                0.42933,                0.82186,              0.0013169,              0.0013169,              0.0013169
                     71,                0.46178,                0.47848,                0.91892,                0.90882,                0.90167,                0.93426,                0.85003,                 0.4189,                0.45085,                0.82278,               0.001307,               0.001307,               0.001307
                     72,                0.46072,                0.47746,                0.91565,                0.93326,                0.89167,                 0.9364,                  0.855,                0.41179,                0.44059,                0.81411,              0.0012971,              0.0012971,              0.0012971
                     73,                0.46227,                0.47258,                0.91793,                0.90699,                0.91013,                0.93902,                0.86466,                 0.3962,                0.45499,                0.80852,              0.0012872,              0.0012872,              0.0012872
                     74,                0.45589,                0.46594,                0.91518,                0.91489,                0.89575,                0.93567,                0.86086,                0.39862,                0.40923,                0.80592,              0.0012773,              0.0012773,              0.0012773
                     75,                 0.4626,                0.47755,                0.91569,                0.89776,                0.90833,                 0.9417,                0.85885,                0.41002,                0.43468,                0.80946,              0.0012674,              0.0012674,              0.0012674
                     76,                0.45675,                0.46351,                0.91279,                0.90702,                0.90667,                 0.9374,                0.85846,                0.41006,                0.43451,                0.80993,              0.0012575,              0.0012575,              0.0012575
                     77,                0.45502,                0.46628,                0.91473,                0.92242,                0.90167,                0.94026,                0.86112,                0.40211,                0.43171,                0.80078,              0.0012476,              0.0012476,              0.0012476
                     78,                0.45996,                0.46378,                0.91465,                0.93171,                0.89667,                0.94448,                0.86503,                0.40008,                0.42977,                0.81181,              0.0012377,              0.0012377,              0.0012377
                     79,                0.44828,                0.46063,                0.90909,                0.91599,                0.90866,                0.94062,                0.86228,                0.39966,                0.43959,                0.80926,              0.0012278,              0.0012278,              0.0012278
                     80,                0.44814,                0.45585,                0.90851,                0.91603,                0.90906,                0.94364,                0.86341,                0.41134,                0.43862,                0.81432,              0.0012179,              0.0012179,              0.0012179
                     81,                0.45402,                0.45979,                0.91176,                0.90736,                0.91416,                0.94201,                0.86406,                0.41082,                0.44053,                0.80881,               0.001208,               0.001208,               0.001208
                     82,                0.45037,                0.46467,                0.90931,                0.94298,                0.89833,                0.94281,                  0.867,                0.40121,                0.43175,                0.81545,              0.0011981,              0.0011981,              0.0011981
