                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                0.36488,                0.35161,                 0.8748,                0.95674,                0.92156,                0.96251,                0.91145,                0.30604,                0.31258,                0.76748,              0.0004457,              0.0004457,              0.0004457
                    159,                0.36563,                0.34968,                0.87581,                0.93125,                   0.94,                0.96303,                0.91507,                0.30533,                0.31171,                0.76746,              0.0004358,              0.0004358,              0.0004358
                    160,                0.36114,                0.34506,                0.87188,                0.95171,                0.91965,                0.96223,                0.91279,                0.30671,                0.31866,                0.77119,              0.0004259,              0.0004259,              0.0004259
                    161,                0.36958,                0.34969,                0.87437,                0.94212,                0.92229,                0.95835,                 0.9112,                0.30212,                0.31999,                0.76828,               0.000416,               0.000416,               0.000416
                    162,                0.36279,                0.34828,                0.87297,                0.93823,                   0.93,                0.95884,                0.91209,                0.30383,                  0.315,                0.77303,              0.0004061,              0.0004061,              0.0004061
                    163,                 0.3695,                  0.355,                0.87714,                0.94987,                   0.92,                0.95766,                 0.9087,                0.30854,                0.32456,                0.77106,              0.0003962,              0.0003962,              0.0003962
                    164,                0.36151,                0.34796,                0.87222,                0.95021,                 0.9224,                0.96126,                0.91066,                0.31057,                0.32349,                0.77195,              0.0003863,              0.0003863,              0.0003863
                    165,                0.36192,                0.34616,                0.87323,                0.94021,                 0.9435,                0.96148,                0.91505,                0.30275,                0.31497,                0.77162,              0.0003764,              0.0003764,              0.0003764
                    166,                0.35442,                0.33939,                0.87156,                0.96355,                0.91333,                0.96373,                0.91627,                0.30241,                0.31665,                0.77056,              0.0003665,              0.0003665,              0.0003665
                    167,                0.36071,                0.34866,                0.87526,                0.94154,                0.93942,                0.96262,                0.91743,                0.29544,                0.29883,                0.76074,              0.0003566,              0.0003566,              0.0003566
                    168,                0.35813,                0.33942,                0.87342,                0.95503,                0.92035,                0.96452,                0.91661,                0.29679,                0.30499,                0.76287,              0.0003467,              0.0003467,              0.0003467
                    169,                0.35518,                0.34071,                0.87244,                0.95056,                   0.92,                0.96495,                0.91708,                 0.2958,                0.30799,                0.76514,              0.0003368,              0.0003368,              0.0003368
                    170,                0.35329,                0.33854,                0.86882,                0.94886,                0.92779,                0.96467,                0.91627,                 0.2964,                0.30191,                0.76457,              0.0003269,              0.0003269,              0.0003269
                    171,                0.35442,                0.33808,                0.87309,                0.94353,                0.93167,                0.96112,                0.91138,                0.29975,                0.30591,                0.76482,               0.000317,               0.000317,               0.000317
                    172,                0.35931,                0.34152,                0.87446,                0.95253,                0.92667,                0.96467,                0.91671,                0.30318,                0.30623,                0.76744,              0.0003071,              0.0003071,              0.0003071
                    173,                0.35374,                0.34145,                0.87211,                0.95564,                   0.92,                0.96505,                0.91975,                0.30182,                0.30735,                0.76537,              0.0002972,              0.0002972,              0.0002972
                    174,                0.35186,                0.34041,                0.87063,                0.94592,                   0.93,                0.96235,                0.91727,                0.30001,                0.31147,                0.76841,              0.0002873,              0.0002873,              0.0002873
                    175,                 0.3495,                0.33885,                0.86978,                0.93635,                0.93667,                0.96122,                0.91539,                0.29842,                0.30904,                 0.7662,              0.0002774,              0.0002774,              0.0002774
                    176,                0.35223,                0.33385,                0.87051,                0.95036,                0.92333,                0.96188,                0.91656,                0.29035,                0.29851,                0.76089,              0.0002675,              0.0002675,              0.0002675
                    177,                0.34638,                0.33211,                0.86768,                0.94696,                   0.93,                0.96104,                0.91641,                0.29429,                 0.3138,                0.76341,              0.0002576,              0.0002576,              0.0002576
                    178,                0.34648,                 0.3294,                0.87255,                0.95506,                0.92098,                 0.9642,                0.91623,                0.29252,                0.31122,                0.76189,              0.0002477,              0.0002477,              0.0002477
                    179,                 0.3518,                0.33626,                0.87115,                0.95014,                0.92667,                0.96167,                0.91564,                0.29135,                0.31657,                 0.7624,              0.0002378,              0.0002378,              0.0002378
                    180,                 0.3498,                0.33106,                0.86591,                0.94466,                0.93167,                0.96454,                0.91965,                0.29011,                 0.3121,                0.76201,              0.0002279,              0.0002279,              0.0002279
                    181,                0.34584,                 0.3294,                0.86732,                 0.9488,                0.92651,                0.96038,                0.91573,                0.28771,                0.30658,                0.75975,               0.000218,               0.000218,               0.000218
                    182,                0.34515,                0.32951,                0.86902,                0.93885,                   0.93,                0.96508,                0.91867,                0.28486,                0.29578,                0.75853,              0.0002081,              0.0002081,              0.0002081
                    183,                0.34701,                 0.3287,                0.86647,                0.94717,                0.93167,                0.96373,                  0.919,                0.28451,                0.29685,                0.75816,              0.0001982,              0.0001982,              0.0001982
                    184,                0.34478,                 0.3242,                0.86678,                0.95709,                0.92939,                0.96429,                0.91891,                0.28549,                0.29636,                 0.7543,              0.0001883,              0.0001883,              0.0001883
                    185,                0.34601,                0.32621,                0.86678,                0.94894,                0.92925,                0.96614,                 0.9229,                0.28348,                 0.3027,                0.75544,              0.0001784,              0.0001784,              0.0001784
                    186,                 0.3377,                0.32529,                0.86726,                0.96147,                0.91504,                0.96605,                0.92009,                0.28566,                0.30489,                0.75734,              0.0001685,              0.0001685,              0.0001685
                    187,                0.35307,                0.33009,                0.86891,                0.95505,                  0.925,                0.96402,                0.91887,                0.28435,                0.29829,                0.75718,              0.0001586,              0.0001586,              0.0001586
                    188,                0.34371,                0.32597,                0.86819,                0.95145,                0.92833,                0.96524,                0.91961,                0.28368,                0.29263,                 0.7604,              0.0001487,              0.0001487,              0.0001487
                    189,                0.34636,                0.32967,                0.86876,                0.95035,                 0.9252,                0.96467,                 0.9181,                0.28086,                0.29623,                 0.7574,              0.0001388,              0.0001388,              0.0001388
                    190,                0.31385,                0.28406,                 0.8503,                0.95324,                0.91745,                0.95969,                0.91392,                0.29727,                 0.3091,                0.76403,              0.0001289,              0.0001289,              0.0001289
                    191,                0.30702,                0.27145,                0.84325,                0.94936,                0.92167,                0.95993,                0.91216,                0.29712,                   0.31,                0.76512,               0.000119,               0.000119,               0.000119
                    192,                0.30411,                0.27235,                0.84692,                0.95025,                0.92313,                0.96278,                0.91503,                0.29605,                0.30919,                0.76214,              0.0001091,              0.0001091,              0.0001091
                    193,                0.30026,                0.26271,                0.84263,                0.95373,                   0.92,                0.96409,                0.91909,                0.29325,                0.30962,                0.76054,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.29919,                0.26431,                  0.845,                0.93641,                0.93263,                 0.9657,                0.91881,                 0.2931,                0.31084,                0.76054,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.29978,                 0.2625,                0.84407,                0.95051,                   0.92,                0.96564,                0.91775,                0.29192,                0.30503,                 0.7598,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.29377,                0.25715,                0.84168,                0.95041,                   0.92,                 0.9649,                0.91792,                  0.288,                0.30105,                0.75748,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 0.2952,                 0.2628,                0.84061,                0.95305,                   0.92,                0.96609,                0.92039,                0.28877,                0.30752,                0.75884,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.29165,                0.25547,                0.84168,                0.94878,                0.91667,                0.96454,                0.92006,                0.28674,                 0.3082,                0.75784,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.29444,                0.25869,                0.84318,                0.95455,                0.91667,                0.96543,                0.92026,                0.28601,                0.30801,                0.75633,               3.98e-05,               3.98e-05,               3.98e-05
